age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp_var_rate;cons_price_idx;cons_conf_idx;euribor3m;nr_employed;y;y_numeric
40;blue-collar;married;basic.9y;unknown;yes;no;telephone;may;thu;21;5;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no;0
38;admin.;married;university.degree;no;yes;no;cellular;nov;mon;110;3;6;1;success;-3.4;92.649;-30.1;0.7190000000000001;5017.5;no;0
33;self-employed;single;university.degree;no;yes;no;telephone;may;fri;227;2;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no;0
58;admin.;married;university.degree;no;no;no;cellular;aug;wed;233;2;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no;0
27;technician;single;unknown;no;no;no;cellular;may;fri;7;4;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.25;5099.1;no;0
29;admin.;single;university.degree;unknown;yes;no;cellular;jul;fri;837;8;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;no;0
57;retired;single;high.school;no;yes;no;telephone;may;thu;448;4;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no;0
60;retired;divorced;basic.4y;no;yes;no;cellular;oct;thu;262;1;999;0;nonexistent;-3.4;92.431;-26.9;0.722;5017.5;no;0
46;services;married;high.school;unknown;yes;no;telephone;may;mon;313;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
55;management;married;basic.9y;no;yes;no;cellular;jul;wed;421;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
29;admin.;single;university.degree;no;no;no;cellular;jun;wed;192;2;3;4;success;-1.7;94.055;-39.8;0.715;4991.6;yes;1
46;blue-collar;divorced;basic.6y;no;unknown;unknown;telephone;jun;thu;45;9;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no;0
32;technician;single;university.degree;no;no;no;cellular;aug;tue;696;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no;0
39;services;married;high.school;no;no;no;telephone;may;tue;132;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
33;admin.;married;university.degree;no;yes;yes;cellular;may;thu;444;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.266;5099.1;no;0
47;management;married;high.school;no;yes;yes;cellular;nov;fri;225;3;999;0;nonexistent;-0.1;93.2;-42.0;4.021;5195.8;no;0
47;retired;married;high.school;no;yes;no;cellular;nov;mon;240;1;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8;no;0
45;services;married;high.school;no;yes;no;cellular;aug;fri;67;3;999;1;failure;-2.9;92.20100000000001;-31.4;0.825;5076.2;no;0
32;admin.;married;university.degree;no;yes;no;cellular;jul;thu;72;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.958;5228.1;no;0
52;technician;married;professional.course;no;no;no;cellular;aug;fri;77;2;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no;0
36;student;single;basic.9y;unknown;yes;no;cellular;may;thu;246;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.327;5099.1;no;0
50;self-employed;married;basic.9y;unknown;no;no;cellular;may;thu;291;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.266;5099.1;no;0
36;blue-collar;married;basic.6y;no;no;no;telephone;may;fri;189;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
38;blue-collar;single;basic.9y;no;yes;no;telephone;jun;fri;38;6;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
51;technician;married;basic.6y;unknown;no;no;telephone;may;mon;250;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
34;admin.;single;university.degree;no;yes;no;cellular;aug;mon;103;4;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no;0
31;blue-collar;married;high.school;unknown;yes;no;telephone;may;tue;27;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
37;blue-collar;single;basic.6y;unknown;unknown;unknown;telephone;jun;tue;82;2;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no;0
52;services;married;basic.6y;no;yes;no;cellular;may;wed;169;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.334;5099.1;no;0
46;blue-collar;married;basic.6y;unknown;no;no;telephone;may;wed;401;2;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no;0
39;technician;single;professional.course;no;yes;no;cellular;apr;wed;80;3;999;0;nonexistent;-1.8;93.075;-47.1;1.415;5099.1;no;0
51;blue-collar;divorced;basic.9y;no;no;no;cellular;may;wed;53;5;999;1;failure;-1.8;92.89299999999999;-46.2;1.281;5099.1;no;0
48;technician;married;high.school;no;no;no;telephone;may;fri;601;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
48;blue-collar;married;basic.4y;no;yes;no;telephone;jun;fri;493;1;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
39;housemaid;married;high.school;no;yes;no;telephone;may;fri;193;11;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no;0
45;blue-collar;married;basic.4y;unknown;yes;no;cellular;apr;thu;479;1;999;1;failure;-1.8;93.075;-47.1;1.41;5099.1;no;0
37;management;divorced;unknown;no;yes;no;cellular;may;tue;147;2;999;1;failure;-1.8;92.89299999999999;-46.2;1.344;5099.1;no;0
25;blue-collar;single;high.school;no;yes;no;cellular;may;wed;262;1;999;1;failure;-1.8;92.89299999999999;-46.2;1.281;5099.1;no;0
41;entrepreneur;married;basic.4y;no;no;no;cellular;jul;mon;531;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;no;0
29;student;single;professional.course;no;no;no;cellular;jun;fri;95;2;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2;no;0
50;blue-collar;married;basic.6y;unknown;yes;yes;telephone;may;tue;67;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
38;blue-collar;married;professional.course;no;no;no;telephone;jun;tue;291;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no;0
31;management;single;professional.course;no;yes;no;telephone;may;fri;256;6;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191.0;no;0
41;admin.;married;university.degree;unknown;yes;no;cellular;nov;tue;88;1;999;0;nonexistent;-0.1;93.2;-42.0;4.1530000000000005;5195.8;no;0
36;admin.;married;university.degree;unknown;no;no;cellular;aug;thu;111;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no;0
52;admin.;married;unknown;no;yes;no;cellular;apr;wed;184;2;10;1;success;-1.8;93.749;-34.6;0.654;5008.7;yes;1
39;services;married;high.school;no;no;no;cellular;apr;fri;185;2;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no;0
53;technician;divorced;professional.course;no;no;yes;cellular;aug;thu;74;8;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1;no;0
40;housemaid;divorced;basic.9y;no;yes;no;cellular;aug;thu;144;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no;0
51;technician;married;professional.course;no;yes;no;cellular;jul;tue;248;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;no;0
34;blue-collar;single;high.school;unknown;no;yes;telephone;may;wed;256;3;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no;0
39;management;married;high.school;no;no;no;cellular;aug;thu;82;4;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no;0
51;technician;married;university.degree;no;yes;no;cellular;jun;tue;303;1;10;1;success;-1.7;94.055;-39.8;0.7020000000000001;4991.6;yes;1
36;blue-collar;single;high.school;no;no;no;telephone;jul;fri;470;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
58;management;single;university.degree;no;no;no;cellular;may;fri;90;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;no;0
50;blue-collar;married;basic.4y;no;yes;no;cellular;aug;mon;82;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no;0
34;blue-collar;married;basic.9y;no;yes;no;cellular;apr;fri;210;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no;0
34;admin.;married;university.degree;unknown;no;no;cellular;aug;tue;1227;2;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;yes;1
37;services;married;basic.9y;no;yes;no;cellular;may;thu;158;3;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.327;5099.1;no;0
30;technician;single;professional.course;no;no;no;telephone;may;thu;584;2;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no;0
32;services;married;high.school;no;no;no;cellular;may;tue;863;4;1;2;success;-1.8;92.89299999999999;-46.2;1.291;5099.1;yes;1
38;technician;single;university.degree;no;yes;no;cellular;may;mon;12;13;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.244;5099.1;no;0
76;retired;married;university.degree;no;no;no;cellular;aug;fri;233;2;999;0;nonexistent;-2.9;92.20100000000001;-31.4;0.8809999999999999;5076.2;yes;1
36;technician;divorced;basic.9y;no;no;no;telephone;jul;wed;119;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
37;blue-collar;married;basic.6y;no;no;no;cellular;may;mon;54;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;no;0
42;blue-collar;married;basic.9y;no;no;no;telephone;may;mon;173;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
39;blue-collar;married;basic.4y;unknown;no;no;telephone;may;tue;70;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
34;technician;married;professional.course;no;yes;no;cellular;apr;thu;258;2;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;no;0
24;blue-collar;single;high.school;no;no;no;cellular;jul;fri;482;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;no;0
34;technician;married;basic.9y;no;no;no;cellular;nov;tue;110;1;999;0;nonexistent;-0.1;93.2;-42.0;4.1530000000000005;5195.8;no;0
41;self-employed;divorced;professional.course;no;no;no;cellular;jul;fri;911;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;yes;1
42;services;married;high.school;no;no;no;telephone;jun;tue;68;2;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1;no;0
39;technician;married;high.school;no;yes;no;cellular;jul;thu;404;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.968;5228.1;no;0
30;technician;single;unknown;no;yes;no;telephone;may;mon;144;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
44;technician;single;university.degree;no;no;no;cellular;nov;mon;396;3;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8;no;0
49;blue-collar;married;basic.4y;unknown;unknown;unknown;telephone;jun;fri;25;1;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
31;entrepreneur;single;university.degree;no;yes;no;cellular;nov;thu;228;1;999;0;nonexistent;-0.1;93.2;-42.0;4.0760000000000005;5195.8;no;0
46;blue-collar;married;basic.9y;no;yes;no;cellular;jul;mon;190;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;no;0
44;technician;married;professional.course;no;no;no;cellular;jul;wed;96;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
46;unemployed;divorced;basic.4y;no;no;no;cellular;nov;fri;366;3;3;1;success;-0.1;93.2;-42.0;4.021;5195.8;no;0
46;services;married;basic.9y;no;no;no;cellular;jul;thu;153;4;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.968;5228.1;no;0
36;admin.;married;university.degree;no;yes;no;cellular;may;fri;70;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;no;0
40;self-employed;single;university.degree;no;yes;no;cellular;jul;wed;1065;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;yes;1
45;blue-collar;married;unknown;no;no;no;cellular;apr;fri;278;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no;0
44;services;divorced;high.school;no;no;no;cellular;jul;mon;119;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
36;management;married;university.degree;no;no;no;telephone;jun;mon;221;7;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;no;0
53;retired;divorced;basic.4y;unknown;no;yes;cellular;jul;tue;159;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;no;0
51;blue-collar;married;basic.4y;no;yes;no;telephone;may;fri;153;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
25;technician;single;professional.course;no;yes;no;cellular;jul;mon;519;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;no;0
34;blue-collar;married;basic.4y;unknown;yes;no;cellular;apr;thu;570;2;999;0;nonexistent;-1.8;93.075;-47.1;1.41;5099.1;no;0
28;admin.;married;high.school;no;no;no;telephone;may;mon;165;5;999;0;nonexistent;1.1;93.994;-36.4;4.8580000000000005;5191.0;no;0
49;blue-collar;married;basic.4y;no;yes;no;cellular;sep;tue;133;2;999;0;nonexistent;-3.4;92.37899999999999;-29.8;0.77;5017.5;no;0
43;entrepreneur;married;university.degree;no;no;yes;telephone;may;wed;363;4;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
37;technician;divorced;professional.course;no;no;no;cellular;may;wed;109;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.281;5099.1;no;0
52;technician;married;high.school;no;unknown;unknown;telephone;jun;mon;24;1;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;no;0
41;admin.;single;high.school;no;no;no;telephone;jun;wed;328;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
38;blue-collar;divorced;high.school;no;no;no;telephone;jun;tue;329;13;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no;0
52;technician;married;professional.course;no;yes;no;cellular;nov;fri;495;1;3;1;success;-3.4;92.649;-30.1;0.7140000000000001;5017.5;yes;1
41;management;married;university.degree;no;yes;no;telephone;may;wed;205;7;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
30;blue-collar;single;high.school;no;unknown;unknown;cellular;nov;mon;235;5;999;0;nonexistent;-3.4;92.649;-30.1;0.7140000000000001;5017.5;yes;1
25;student;single;high.school;no;no;no;cellular;oct;fri;554;3;999;0;nonexistent;-1.1;94.601;-49.5;1.0290000000000001;4963.6;yes;1
34;blue-collar;married;basic.9y;unknown;yes;yes;telephone;may;fri;219;4;999;1;failure;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;no;0
43;technician;single;university.degree;no;yes;no;telephone;may;wed;255;2;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no;0
39;blue-collar;married;basic.9y;unknown;yes;no;cellular;may;wed;56;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.281;5099.1;no;0
32;blue-collar;single;basic.9y;unknown;unknown;unknown;cellular;jul;fri;240;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;no;0
42;management;married;university.degree;no;no;no;cellular;may;fri;391;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.25;5099.1;no;0
45;blue-collar;single;high.school;unknown;yes;no;cellular;may;mon;29;6;999;1;failure;-1.8;92.89299999999999;-46.2;1.244;5099.1;no;0
47;blue-collar;married;basic.4y;no;yes;no;telephone;may;tue;77;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
46;admin.;single;university.degree;no;no;no;cellular;may;mon;269;1;999;1;failure;-1.8;92.89299999999999;-46.2;1.264;5099.1;yes;1
27;admin.;single;basic.9y;no;yes;no;telephone;may;thu;230;4;999;1;failure;-1.8;92.89299999999999;-46.2;1.266;5099.1;no;0
32;admin.;single;university.degree;no;no;no;telephone;may;wed;674;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
37;management;divorced;university.degree;no;yes;no;cellular;may;mon;176;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.244;5099.1;no;0
25;technician;single;professional.course;no;yes;no;telephone;may;fri;65;1;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191.0;no;0
30;self-employed;married;university.degree;no;no;no;cellular;jul;thu;573;6;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
53;technician;married;university.degree;unknown;yes;yes;cellular;aug;mon;405;11;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no;0
34;entrepreneur;married;high.school;unknown;no;no;cellular;jul;tue;924;4;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;no;0
26;admin.;single;basic.9y;no;no;no;telephone;jun;fri;11;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
50;blue-collar;married;basic.6y;no;yes;no;cellular;nov;mon;116;2;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8;no;0
37;admin.;single;university.degree;no;yes;yes;cellular;mar;mon;161;2;999;0;nonexistent;-1.8;92.84299999999999;-50.0;1.703;5099.1;no;0
35;technician;single;professional.course;unknown;yes;no;cellular;jul;thu;53;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.968;5228.1;no;0
45;blue-collar;married;basic.9y;no;yes;no;cellular;jul;wed;73;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
43;management;married;unknown;no;yes;yes;cellular;jul;wed;595;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
48;technician;married;professional.course;unknown;no;no;cellular;aug;thu;112;8;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no;0
43;admin.;married;high.school;no;yes;no;telephone;may;fri;93;3;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no;0
39;management;married;university.degree;no;yes;no;telephone;jun;fri;23;1;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1;no;0
39;technician;divorced;university.degree;no;no;no;cellular;jul;mon;179;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
27;admin.;married;high.school;no;yes;no;cellular;may;wed;175;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.334;5099.1;no;0
39;technician;married;professional.course;no;no;no;cellular;apr;thu;208;3;999;1;failure;-1.8;93.749;-34.6;0.64;5008.7;no;0
