age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,client_id
55,technician,married,professional.course,no,no,no,cellular,nov,fri,113,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no,AVFVI
54,blue-collar,married,unknown,no,no,no,cellular,aug,mon,143,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,FJLM9
32,blue-collar,single,basic.9y,no,yes,yes,cellular,jul,tue,282,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,QC3QM
30,admin.,married,university.degree,no,no,no,cellular,may,tue,22,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,74O9B
31,admin.,married,university.degree,no,yes,yes,cellular,nov,wed,408,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no,XMMA0
27,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,DLYIG
42,housemaid,divorced,basic.4y,unknown,yes,no,telephone,jun,thu,150,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no,ZG5N6
31,admin.,single,university.degree,no,no,yes,cellular,jun,tue,210,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no,9KOAY
46,management,married,university.degree,no,no,no,telephone,may,tue,310,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,3B32R
31,services,married,basic.9y,no,yes,no,cellular,jul,mon,334,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,LMH8B
45,entrepreneur,married,basic.4y,no,yes,no,cellular,nov,tue,167,5,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,VZ3XM
46,management,married,high.school,unknown,no,no,cellular,jul,thu,103,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,F5656
52,technician,married,basic.6y,unknown,no,no,cellular,may,thu,152,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,6A246
54,housemaid,divorced,university.degree,unknown,yes,no,cellular,jul,mon,57,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,1KGZG
43,technician,divorced,university.degree,no,yes,no,cellular,nov,wed,342,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,XLGH8
34,services,single,high.school,no,unknown,unknown,telephone,may,tue,147,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,OXE40
49,services,single,professional.course,no,yes,no,cellular,aug,tue,161,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,JI39O
33,admin.,single,university.degree,no,no,no,telephone,jul,wed,67,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,GCDJS
45,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,129,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,DRM8D
47,services,married,unknown,no,no,no,telephone,may,wed,262,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,6GH38
30,unemployed,single,basic.9y,no,no,no,cellular,apr,wed,142,4,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,yes,EZLIL
59,technician,married,basic.9y,no,no,no,telephone,may,fri,135,9,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,6WB7I
27,services,single,university.degree,no,yes,no,cellular,mar,mon,111,3,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,no,3R6MC
51,technician,married,professional.course,no,yes,yes,telephone,may,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,3SE26
34,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,192,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,JED08
26,self-employed,single,university.degree,no,yes,no,cellular,sep,thu,333,1,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,no,VUECS
38,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,wed,122,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,I0W10
44,services,married,high.school,no,no,no,telephone,jun,thu,227,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no,BRJNP
34,self-employed,single,university.degree,no,yes,no,cellular,apr,mon,639,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,FUO1C
54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,166,3,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,2VR5D
27,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,689,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,yes,COLY6
34,admin.,divorced,high.school,no,yes,no,cellular,apr,tue,121,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes,PC0RE
30,technician,married,professional.course,no,yes,no,cellular,mar,tue,263,2,6,2,success,-1.8,93.369,-34.8,0.655,5008.7,yes,Y0WPB
32,admin.,married,university.degree,no,yes,no,cellular,oct,thu,177,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no,T7XVN
32,admin.,single,university.degree,no,yes,no,cellular,jun,mon,253,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,yes,783SJ
24,student,single,unknown,no,yes,no,cellular,sep,wed,191,2,999,3,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,no,83XUT
34,unknown,married,basic.4y,no,yes,no,cellular,apr,thu,477,2,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,no,XFGND
43,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,109,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,W8OOV
42,technician,married,university.degree,no,no,yes,cellular,jul,wed,430,2,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,no,K3UP0
31,blue-collar,married,basic.6y,unknown,no,no,telephone,may,wed,109,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,9OQEA
59,admin.,married,university.degree,unknown,no,yes,telephone,may,mon,49,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,FGDSA
32,admin.,married,university.degree,no,yes,no,cellular,may,thu,100,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,IN9VZ
41,blue-collar,divorced,basic.6y,no,no,no,telephone,may,fri,253,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,SGMSL
32,technician,single,professional.course,no,yes,no,cellular,may,mon,183,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,6LPBY
43,blue-collar,divorced,basic.4y,unknown,no,no,telephone,jul,fri,195,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,no,VL28D
26,technician,single,university.degree,no,yes,no,cellular,may,thu,174,4,2,1,success,-1.8,92.89299999999999,-46.2,1.27,5099.1,yes,WU4ML
32,admin.,single,university.degree,unknown,no,no,telephone,may,tue,1346,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes,LVWJ2
38,admin.,married,high.school,no,yes,no,cellular,may,wed,197,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,7MON1
50,blue-collar,married,basic.9y,no,yes,no,cellular,jun,thu,117,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,HVMF2
59,unknown,married,unknown,no,no,no,cellular,aug,wed,198,1,6,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes,SX61O
32,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,244,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,SIT5W
42,admin.,married,high.school,unknown,yes,no,cellular,jul,mon,288,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,XQEIS
44,admin.,single,high.school,no,no,no,telephone,jun,wed,61,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,VIM52
25,management,married,basic.6y,no,no,no,cellular,jul,wed,192,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,PHNZ2
43,housemaid,married,basic.4y,no,yes,no,cellular,jul,wed,317,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,1ALQG
53,technician,married,high.school,no,yes,no,cellular,jul,fri,531,3,999,0,nonexistent,-2.9,92.469,-33.6,1.0590000000000002,5076.2,no,B3EUB
74,retired,married,university.degree,no,no,no,telephone,oct,mon,160,1,999,0,nonexistent,-1.1,94.601,-49.5,0.977,4963.6,no,PBRVM
49,admin.,married,university.degree,no,no,no,cellular,jun,thu,259,2,999,0,nonexistent,-2.9,92.963,-40.8,1.235,5076.2,yes,C1M94
37,technician,married,university.degree,no,yes,no,telephone,may,thu,240,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,5UT27
36,unemployed,married,basic.6y,no,yes,no,cellular,nov,thu,46,2,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,ZWOY7
52,admin.,married,basic.9y,no,no,no,cellular,jul,wed,1171,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes,TW97A
30,admin.,single,university.degree,no,no,no,cellular,aug,thu,122,5,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,8ENJL
50,admin.,married,high.school,no,yes,yes,cellular,may,mon,146,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no,409FY
31,services,single,high.school,no,no,no,cellular,jul,mon,500,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,R7EGF
37,management,married,university.degree,unknown,no,no,cellular,aug,mon,110,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,O9N2N
54,services,married,high.school,unknown,no,yes,cellular,jul,thu,338,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,VKJ08
44,services,married,unknown,no,yes,yes,telephone,jul,wed,329,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,3E4CM
43,admin.,single,university.degree,no,yes,yes,cellular,aug,wed,79,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,M52YP
35,admin.,married,high.school,no,no,no,cellular,jul,tue,160,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,0EK9J
41,management,married,university.degree,unknown,no,no,telephone,may,tue,174,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,SBODZ
29,self-employed,married,high.school,no,no,no,telephone,may,mon,304,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,F2LVS
54,services,married,unknown,no,no,no,telephone,may,fri,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,OPIJ0
50,blue-collar,married,unknown,unknown,yes,yes,telephone,may,mon,10,8,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,HQN35
38,admin.,married,high.school,no,yes,no,cellular,oct,thu,82,1,999,1,failure,-3.4,92.431,-26.9,0.754,5017.5,no,RQORB
53,entrepreneur,divorced,university.degree,no,yes,no,cellular,jul,wed,97,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,UPULK
33,blue-collar,married,high.school,no,no,no,telephone,may,wed,858,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes,B8L97
51,self-employed,married,university.degree,unknown,yes,no,telephone,jun,tue,34,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0KTPI
35,housemaid,married,basic.4y,no,no,no,telephone,may,fri,91,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,6JZQD
38,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,thu,204,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,CLQY1
46,services,married,unknown,unknown,no,no,cellular,aug,mon,458,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,KIM7V
45,services,married,basic.9y,no,no,no,cellular,jul,thu,50,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no,KDH4X
57,blue-collar,married,basic.4y,no,yes,yes,telephone,may,tue,647,7,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,P49AU
50,admin.,single,basic.9y,no,yes,no,cellular,jun,wed,343,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,4JTAE
41,admin.,married,university.degree,no,yes,no,cellular,sep,mon,182,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.797,5017.5,no,A8EFH
48,entrepreneur,married,basic.9y,no,yes,no,cellular,jul,wed,44,7,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,Z3WE1
31,admin.,single,university.degree,no,yes,yes,telephone,jun,fri,282,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,RU9OB
45,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,159,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,X4KHD
35,admin.,married,high.school,unknown,no,yes,cellular,jul,fri,93,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,R8RR6
58,self-employed,married,basic.6y,unknown,yes,no,cellular,aug,thu,79,8,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,DE3W0
72,retired,divorced,university.degree,no,no,no,cellular,aug,tue,270,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.884,5076.2,no,17ROS
35,entrepreneur,married,high.school,no,no,no,telephone,may,tue,144,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,20KNH
58,retired,married,professional.course,unknown,no,yes,telephone,may,tue,518,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,E1TWH
40,unemployed,divorced,university.degree,no,no,no,cellular,nov,fri,366,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,JF416
